Date,High,Low,Open,Close,Volume,Adj Close
1994-09-06,16.25,16.125,16.25,16.25,21300.0,16.25
1994-09-07,16.25,16.0,16.25,16.25,12000.0,16.25
1994-09-08,16.25,16.0,16.0,16.0,12000.0,16.0
1994-09-09,16.875,16.125,16.875,16.875,20200.0,16.875
1994-09-12,16.75,16.5,16.5,16.5,6500.0,16.5
1994-09-13,16.75,16.5,16.625,16.625,40700.0,16.625
1994-09-14,16.875,16.5,16.625,16.625,4700.0,16.625
1994-09-15,17.0,16.5,16.5,16.5,30500.0,16.5
1994-09-16,16.75,16.5,16.625,16.625,29800.0,16.625
1994-09-19,16.875,16.5,16.75,16.75,8600.0,16.75
1994-09-20,16.875,16.5,16.5,16.5,17600.0,16.5
1994-09-21,16.875,16.375,16.875,16.875,60700.0,16.875
1994-09-22,16.75,16.375,16.5,16.5,8000.0,16.5
1994-09-23,16.75,16.375,16.5,16.5,33600.0,16.5
1994-09-26,16.625,16.25,16.25,16.25,3900.0,16.25
1994-09-27,16.375,16.25,16.375,16.375,5500.0,16.375
1994-09-28,16.5,16.25,16.375,16.375,7000.0,16.375
1994-09-29,16.5,16.25,16.375,16.375,27000.0,16.375
1994-09-30,16.625,16.375,16.625,16.625,4900.0,16.625
1994-10-03,16.75,16.5,16.625,16.625,5200.0,16.625
1994-10-04,16.75,16.25,16.25,16.25,15400.0,16.25
1994-10-05,16.5,16.0,16.0,16.0,11200.0,16.0
1994-10-06,16.375,16.0,16.25,16.25,2600.0,16.25
1994-10-07,16.625,16.25,16.5,16.5,3300.0,16.5
1994-10-10,16.875,16.5,16.625,16.625,4400.0,16.625
1994-10-11,17.25,16.875,17.0,17.0,48300.0,17.0
1994-10-12,17.125,16.75,17.125,17.125,36200.0,17.125
1994-10-13,17.25,16.625,16.625,16.625,15700.0,16.625
1994-10-14,16.75,16.25,16.25,16.25,25700.0,16.25
1994-10-17,16.625,16.125,16.625,16.625,6900.0,16.625
1994-10-18,16.875,16.625,16.625,16.625,8400.0,16.625
1994-10-19,16.75,16.625,16.75,16.75,9700.0,16.75
1994-10-20,16.75,16.5,16.5,16.5,15200.0,16.5
1994-10-21,16.625,16.0,16.125,16.125,90100.0,16.125
1994-10-24,16.25,15.75,15.875,15.875,23900.0,15.875
1994-10-25,15.625,15.125,15.125,15.125,113700.0,15.125
1994-10-26,15.5,15.125,15.5,15.5,10100.0,15.5
1994-10-27,16.0,15.625,15.875,15.875,13600.0,15.875
1994-10-28,16.125,15.75,16.125,16.125,30000.0,16.125
1994-10-31,15.875,15.125,15.875,15.25,16300.0,15.25
1994-11-01,15.375,14.875,14.880000114440918,15.125,20900.0,15.125
1994-11-02,15.375,15.0,15.130000114440918,15.25,13900.0,15.25
1994-11-03,15.375,15.125,15.25,15.375,15500.0,15.375
1994-11-04,15.375,15.125,15.375,15.375,16900.0,15.375
1994-11-07,15.625,15.125,15.25,15.5,36600.0,15.5
1994-11-08,15.75,15.375,15.75,15.5,10600.0,15.5
1994-11-09,15.625,15.25,15.380000114440918,15.5,13500.0,15.5
1994-11-10,16.125,15.75,15.75,16.0,8900.0,16.0
1994-11-11,16.0,15.75,16.0,16.0,14300.0,16.0
1994-11-14,16.25,16.0,16.0,16.25,24200.0,16.25
1994-11-15,16.375,16.0,16.1299991607666,16.0,10700.0,16.0
